"Notes"	"State"	"State Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"South Carolina"	"45"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	163	3229322	5.0
	"South Carolina"	"45"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	112	2345408	4.8
	"South Carolina"	"45"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	85	1572101	5.4
	"South Carolina"	"45"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	74	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	24	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	13	6291807	Unreliable
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	21	6419111	0.3
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	49	6039047	0.8
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	164	5838834	2.8
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	340	5989127	5.7
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	658	6182423	10.6
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	1125	6289862	17.9
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	1475	6181664	23.9
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	1529	5736817	26.7
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	1215	5039149	24.1
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	858	4232594	20.3
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	501	3229322	15.5
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	279	2345408	11.9
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	149	1572101	9.5
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	66	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	9201	1151479	799.1
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	1504	4578085	32.9
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	933	5832442	16.0
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1192	6014421	19.8
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	4270	6291807	67.9
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	6588	6419111	102.6
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	6852	6039047	113.5
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	7916	5838834	135.6
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	10491	5989127	175.2
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	16073	6182423	260.0
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	24672	6289862	392.3
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	37065	6181664	599.6
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	50229	5736817	875.6
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	62935	5039149	1248.9
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	74738	4232594	1765.8
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	86451	3229322	2677.1
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	100559	2345408	4287.5
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	110110	1572101	7004.0
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	102256	Not Applicable	Not Applicable
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	67590	Not Applicable	Not Applicable
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	25438	Not Applicable	Not Applicable
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	5256	Not Applicable	Not Applicable
	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	62	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	31	1186888	2.6
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	65	1164997	5.6
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	97	1028884	9.4
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	110	997812	11.0
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	103	994166	10.4
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	127	1032540	12.3
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	126	1081201	11.7
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	107	1080530	9.9
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	84	989057	8.5
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	31	837070	3.7
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	25	674196	3.7
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	17	539989	Unreliable
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	14	445969	Unreliable
	"South Dakota"	"46"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	12	350419	Unreliable
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	18	1164997	Unreliable
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	50	1028884	4.9
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	98	997812	9.8
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	136	994166	13.7
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	234	1032540	22.7
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	318	1081201	29.4
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	367	1080530	34.0
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	337	989057	34.1
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	229	837070	27.4
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	191	674196	28.3
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	103	539989	19.1
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	76	445969	17.0
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	29	350419	8.3
	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	1616	228773	706.4
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	325	905384	35.9
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	227	1116798	20.3
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	301	1129502	26.6
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	912	1186888	76.8
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	1053	1164997	90.4
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	939	1028884	91.3
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	1036	997812	103.8
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	1336	994166	134.4
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	1839	1032540	178.1
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	2951	1081201	272.9
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	4255	1080530	393.8
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	5997	989057	606.3
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	7753	837070	926.2
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	9631	674196	1428.5
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	12226	539989	2264.1
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	16080	445969	3605.6
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	20900	350419	5964.3
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	22840	Not Applicable	Not Applicable
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	18498	Not Applicable	Not Applicable
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	8595	Not Applicable	Not Applicable
	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	2163	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"< 1 year"	"1"	18	1582687	Unreliable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	17	6341370	Unreliable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	18	8312025	Unreliable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	329	8342826	3.9
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	1229	8545729	14.4
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	1926	8428330	22.9
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	2283	8284674	27.6
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	2641	8515405	31.0
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	2973	8774865	33.9
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	3197	8868223	36.1
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	2744	8631852	31.8
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	1950	7870909	24.8
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	1009	6739049	15.0
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	444	5519230	8.0
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	247	4252140	5.8
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	180	3186871	5.6
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	143	2201002	6.5
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	109	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	53	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	14	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	18	8342826	Unreliable
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	48	8545729	0.6
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	103	8428330	1.2
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	224	8284674	2.7
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	484	8515405	5.7
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	947	8774865	10.8
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	1499	8868223	16.9
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	1870	8631852	21.7
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	1982	7870909	25.2
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	1664	6739049	24.7
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	988	5519230	17.9
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	527	4252140	12.4
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	348	3186871	10.9
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	173	2201002	7.9
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	69	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	12894	1582687	814.7
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	2087	6341370	32.9
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	1199	8084921	14.8
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1608	8312025	19.3
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	5719	8342826	68.5
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	8381	8545729	98.1
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	8950	8428330	106.2
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	10758	8284674	129.9
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	14890	8515405	174.9
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	22655	8774865	258.2
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	35252	8868223	397.5
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	52453	8631852	607.7
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	71115	7870909	903.5
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	88167	6739049	1308.3
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	105950	5519230	1919.7
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	124029	4252140	2916.9
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	145182	3186871	4555.6
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	161526	2201002	7338.7
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	154188	Not Applicable	Not Applicable
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	102448	Not Applicable	Not Applicable
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	38283	Not Applicable	Not Applicable
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	7676	Not Applicable	Not Applicable
	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	42	Not Applicable	Not Applicable
	"Texas"	"48"	"Drug-induced causes"	"D"	"< 1 year"	"1"	52	7563573	0.7
	"Texas"	"48"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	55	29821643	0.2
	"Texas"	"48"	"Drug-induced causes"	"D"	"5-9 years"	"5-9"	12	36732245	Unreliable
	"Texas"	"48"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	59	36986995	0.2
	"Texas"	"48"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	1275	36456548	3.5
	"Texas"	"48"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	3392	36224551	9.4
	"Texas"	"48"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	4363	36140031	12.1
	"Texas"	"48"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	4621	35541680	13.0
	"Texas"	"48"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	5194	35068895	14.8
	"Texas"	"48"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	6015	34675393	17.3
	"Texas"	"48"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	6447	33356949	19.3
	"Texas"	"48"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	5808	30890210	18.8
	"Texas"	"48"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	4113	26820823	15.3
	"Texas"	"48"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	2347	21678342	10.8
	"Texas"	"48"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	1117	17033728	6.6
	"Texas"	"48"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	578	12996760	4.4
	"Texas"	"48"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	395	9739185	4.1
	"Texas"	"48"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	318	6770910	4.7
	"Texas"	"48"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	194	Not Applicable	Not Applicable
	"Texas"	"48"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	88	Not Applicable	Not Applicable
	"Texas"	"48"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	26	Not Applicable	Not Applicable
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	59	36456548	0.2
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	135	36224551	0.4
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	357	36140031	1.0
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	753	35541680	2.1
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	1499	35068895	4.3
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	2868	34675393	8.3
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	4663	33356949	14.0
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	5531	30890210	17.9
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	5401	26820823	20.1
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	4152	21678342	19.2
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	2642	17033728	15.5
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	1600	12996760	12.3
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	973	9739185	10.0
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	503	6770910	7.4
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	199	Not Applicable	Not Applicable
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	64	Not Applicable	Not Applicable
	"Texas"	"48"	"Alcohol-induced causes"	"A"	"95-99 years"	"95-99"	12	Not Applicable	Not Applicable
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	46356	7563573	612.9
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	9142	29821643	30.7
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	5137	36732245	14.0
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	6272	36986995	17.0
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	19834	36456548	54.4
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	29819	36224551	82.3
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	30235	36140031	83.7
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	34411	35541680	96.8
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	44864	35068895	127.9
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	66256	34675393	191.1
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	99863	33356949	299.4
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	146081	30890210	472.9
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	195537	26820823	729.0
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	238637	21678342	1100.8
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	276890	17033728	1625.5
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	329162	12996760	2532.6
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	395633	9739185	4062.3
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	448318	6770910	6621.2
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	433288	Not Applicable	Not Applicable
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	296819	Not Applicable	Not Applicable
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	114853	Not Applicable	Not Applicable
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	23927	Not Applicable	Not Applicable
	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	308	Not Applicable	Not Applicable
	"Utah"	"49"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	14	3863601	Unreliable
	"Utah"	"49"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	18	4453723	Unreliable
	"Utah"	"49"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	212	4430239	4.8
	"Utah"	"49"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	806	4788838	16.8
	"Utah"	"49"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	1047	4218849	24.8
	"Utah"	"49"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	1200	3921094	30.6
	"Utah"	"49"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	1203	3562466	33.8
	"Utah"	"49"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	1187	3243901	36.6
	"Utah"	"49"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	1206	3012891	40.0
	"Utah"	"49"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	1098	2779292	39.5
	"Utah"	"49"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	765	2452410	31.2
	"Utah"	"49"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	478	2010275	23.8
	"Utah"	"49"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	215	1581775	13.6
	"Utah"	"49"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	135	1219193	11.1
	"Utah"	"49"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	79	933079	8.5
	"Utah"	"49"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	50	668905	7.5
	"Utah"	"49"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	33	Not Applicable	Not Applicable
	"Utah"	"49"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	25	4788838	0.5
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	71	4218849	1.7
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	131	3921094	3.3
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	241	3562466	6.8
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	341	3243901	10.5
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	496	3012891	16.5
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	571	2779292	20.5
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	603	2452410	24.6
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	457	2010275	22.7
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	290	1581775	18.3
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	167	1219193	13.7
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	93	933079	10.0
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	52	668905	7.8
	"Utah"	"49"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable
	"Utah"	"49"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	5198	992968	523.5
	"Utah"	"49"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	998	3863601	25.8
	"Utah"	"49"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	573	4643232	12.3
